Timestamp,MotorData.ActCurrent,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,MotorData.SetAcceleration,MotorData.SetCurrent,MotorData.SetForce,MotorData.SetSpeed,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal,NVL_Recv_Storage.GL_X_TimeSlideIn,NVL_Recv_Storage.GL_X_TimeSlideOut
1500914348721,384,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914348759,380,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914348807,380,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914348853,393,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914348900,384,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914348946,372,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914348993,378,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349042,378,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349087,387,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349135,370,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349182,382,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349229,382,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349274,382,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349322,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349371,392,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349416,387,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349463,399,0,0,91,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349510,399,0,0,91,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349558,391,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349605,391,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349650,377,0,0,80,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349696,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349744,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349791,392,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349837,392,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349885,387,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349930,383,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914349978,383,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350026,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350072,389,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350119,394,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350165,388,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350213,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350259,376,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350307,381,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350354,395,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350400,395,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350447,393,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350494,393,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350540,376,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350587,370,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350633,376,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350681,403,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350729,403,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350775,399,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350820,376,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350869,372,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350915,372,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914350964,382,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351009,379,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351057,376,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351105,376,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351149,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351197,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351244,376,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351292,397,0,0,88,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351339,378,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351386,381,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351433,381,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351478,380,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351525,380,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351572,384,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351617,384,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351665,399,0,0,81,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351713,399,0,0,81,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351760,378,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351806,377,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351854,393,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351900,389,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351946,389,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914351995,393,0,0,81,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352041,387,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352089,389,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352135,380,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352181,380,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352227,380,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352275,399,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352321,384,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352369,376,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352416,391,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352462,391,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352510,395,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352558,385,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352603,388,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352650,383,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352696,383,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352745,383,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352792,376,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352837,385,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352883,376,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352932,376,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914352978,384,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353025,384,0,0,85,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353070,391,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353118,384,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353166,384,0,0,83,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353214,382,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353261,366,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353308,387,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353354,395,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353400,395,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353447,395,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353495,403,0,0,82,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353542,395,0,0,86,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353589,395,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353634,395,0,0,87,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353682,377,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353728,372,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353775,387,0,0,84,0,0,0,1,84,384,84,0,0,1,0,1,0,1,0,0,0,10000,200
1500914353822,380,0,0,83,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914353870,380,0,0,83,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914353915,376,0,0,84,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914353963,380,0,0,86,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914354010,380,0,0,86,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914354058,391,0,0,83,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914354103,384,0,0,85,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914354150,384,0,0,85,0,0,0,1,84,384,84,0,0,1,1,1,0,1,0,0,0,10000,200
1500914354197,382,0,0,85,0,0,0,1,84,384,84,0,0,1,1,1,0,1,1,0,0,10000,200
1500914354245,382,0,0,87,0,0,0,1,84,384,84,0,0,1,1,1,0,1,1,0,0,10000,200
1500914354290,399,0,0,88,0,0,0,1,84,384,84,0,0,1,1,1,0,1,1,0,0,10000,200
1500914354340,377,0,0,81,0,0,0,1,84,384,84,0,0,1,1,0,0,1,1,0,0,10000,200
1500914354384,377,0,0,81,0,0,0,1,84,384,84,0,0,1,1,0,0,1,1,0,0,10000,200
1500914354433,388,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,0,1,1,0,0,10000,200
1500914354479,387,0,0,88,0,0,0,1,84,384,84,0,0,1,1,0,0,1,1,0,0,10000,200
1500914354525,385,0,0,85,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354570,385,0,0,85,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354618,381,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354667,381,0,0,86,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354713,381,0,0,86,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354759,387,0,0,82,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354808,402,0,0,81,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354853,402,0,0,81,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354900,391,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354946,382,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914354994,391,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355040,378,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355088,378,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355134,366,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355182,385,0,0,82,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355229,392,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355275,392,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355322,378,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355368,378,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355417,379,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355464,377,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355509,380,0,0,87,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355558,373,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355603,373,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355650,385,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355697,391,0,0,87,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355744,382,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355790,380,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355839,380,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355885,380,0,0,83,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
1500914355933,378,0,0,84,0,0,0,1,84,384,84,0,0,1,1,0,1,1,0,0,0,10000,200
