Timestamp,MotorData.ActCurrent,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,MotorData.SetAcceleration,MotorData.SetCurrent,MotorData.SetForce,MotorData.SetSpeed,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal,NVL_Recv_Storage.GL_X_TimeSlideIn,NVL_Recv_Storage.GL_X_TimeSlideOut
1500915278295,264,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278340,260,0,0,58,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278384,260,0,0,58,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278432,245,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278479,268,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278525,265,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278572,242,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278619,242,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278668,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278712,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278759,262,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278807,262,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278853,262,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278899,257,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278947,260,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915278995,245,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279040,239,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279087,239,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279133,249,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279182,233,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279229,256,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279279,250,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279321,250,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279367,250,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279416,253,0,0,52,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279464,249,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279509,231,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279557,231,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279604,258,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279650,254,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279696,258,0,0,59,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279744,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279790,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279839,249,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279884,251,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279932,249,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915279977,249,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280025,258,0,0,52,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280073,258,0,0,52,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280119,250,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280168,262,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280213,253,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280260,247,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280308,247,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280353,249,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280401,262,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280447,245,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280494,245,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1500915280540,246,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
